100.4 Smooth Radio,
102 Capital FM,
102 Town FM,
102.2 Capital FM,
102.2 Smooth Radio,
103 The Eye,
103.2 Capital FM,
105 Capital FM,
105-106 Capital FM Scotland,
105.2 Smooth Radio,
105.7 Smooth Radio,
105/106 Capital FM,
106.1 Rock Radio,
106.6 Smooth Radio,
107.4 The Severn,
107.6 Juice FM,
2 FM,
2BR,
4 Music,
4FM,
4oD,
7 Gold,
96-106 Capital FM,Capital FM
96.3 Rock Radio,
96.5 Radio Wave,
97.4/103.2 Capital FM,
97.5 Kemet FM,
97.5 Smooth Radio,
98.3FM Cork Campus Radio,
98FM,
Absolute 00s,
Absolute 80s,
Absolute 90s,Absolute Radio 90s
Absolute Classic Rock,
Absolute Radio,
Absolute Radio Extra,
Absolute Xtreme,
Ait International,
Al Jazeera English,
Alibi,
Alibi +1,
Amazing Radio,
Animal Planet,
Animal Planet +1,
Antenna Tre,
Arrow,
Arrow FM,
ATTHERACES,
B4U Movies,
Bay,
BBC Alba,
BBC Entertainment,
BBC Four,
BBC HD,
BBC News,
BBC One,BBC One London
BBC One Cambridgeshire,BBC One Cambridge
BBC One Channel Islands,
BBC One East,
BBC One East Midlands,
BBC One HD,
BBC One North East & Cumbria,
BBC One North West,
BBC One Northern Ireland,
BBC One Oxfordshire,BBC One Oxford
BBC One Scotland,
BBC One South,
BBC One South East,
BBC One South West,
BBC One Wales,
BBC One West,
BBC One West Midlands,
BBC One Yorks & Lincs,
BBC One Yorkshire,
BBC Parliament,
BBC Radio 1xtra,
BBC Radio 5live,BBC Radio 5 Live
BBC Radio 5livesportsextra,BBC Radio 5 Live Sports Extra
BBC Radio 6music,BBC Radio 6 Music
BBC Radio Asiannetwork,BBC Asian Network
BBC Radio Berkshire,
BBC Radio Bristol,
BBC Radio Cambridgeshire,
BBC Radio Cornwall,
BBC Radio Coventry,
BBC Radio Cumbria,
BBC Radio Derby,
BBC Radio Devon,
BBC Radio Essex,
BBC Radio Gloucestershire,
BBC Radio Guernsey,
BBC Radio Herefordandworcester,
BBC Radio Humberside,
BBC Radio Jersey,
BBC Radio Kent,
BBC Radio Lancashire,
BBC Radio Leeds,
BBC Radio Leicester,
BBC Radio Lincolnshire,
BBC Radio London,
BBC Radio Manchester,
BBC Radio Merseyside,
BBC Radio Newcastle,
BBC Radio Norfolk,
BBC Radio Northampton,
BBC Radio Nottingham,
BBC Radio Oxford,
BBC Radio Radio1,BBC Radio 1
BBC Radio Radio2,BBC Radio 2
BBC Radio Radio3,BBC Radio 3
BBC Radio Radio4,BBC Radio 4
BBC Radio Radio4 Extra,BBC Radio 4 Extra
BBC Radio Radio4 LW,BBC Radio 4 LW
BBC Radio Radio7,BBC Radio 7
BBC Radio Radiocymru,BBC Radio Cymru
BBC Radio Radiofoyle,BBC Radio Foyle
BBC Radio Radionangaidheal,
BBC Radio Radioorkney,BBC Radio Orkney
BBC Radio Radioscotland,BBC Radio Scotland
BBC Radio Radioscotland MW,BBC Radio Scotland MW
BBC Radio Radioshetland,BBC Radio Shetland
BBC Radio Radioulster,BBC Radio Ulster
BBC Radio Radiowales,BBC Radio Wales
BBC Radio Sheffield,
BBC Radio Shropshire,
BBC Radio Solent,
BBC Radio Somerset,
BBC Radio Stoke,
BBC Radio Suffolk,
BBC Radio Surrey,
BBC Radio Sussex,
BBC Radio Tees,
BBC Radio Threecounties,
BBC Radio Wiltshire,
BBC Radio Wm,
BBC Radio Worldservice,BBC World Service
BBC Radio York,
BBC Sport Interactive BBC One,
BBC Sport Interactive BBC Three,
BBC Sport Interactive BBC Two,
BBC Sport Interactive Freeview,
BBC Three,
BBC Two,BBC Two England
BBC Two Northern Ireland,
BBC Two Northern Ireland (Analogue),
BBC Two Scotland,
BBC Two Wales,
BBC Two Wales (Analogue),
BBC World News,
BCB 106.6FM,
Beach 103.4FM,
Beacon,
Best Direct,
BET +1,
BET International,BET
Bid TV,Bid
BIO,
Bio HD,
Black Diamond,
Blast FM,
BLIGHTY,
BLISS,Bliss
Bloomberg TV,Bloomberg TV
Body In Balance,
Boing,
Boomerang,
Boomerang +1,
Borders Radio,
Bravo,
Bravo +1,
Bravo 2,
Bright 106.4,
BRMB 96.4,
Buzz Asia,
C103 (North and East Cork),
C103 (West Cork),
Canale Italia 3,
Canale Italia 83,
Canale Italia 84,
Canale Italia Musica,
Canale Italia Uno,
Canale5,
Canale5 +1,
Canale5 HD,
Canale6,
Capital FM,
Capri Store,
Cartoon Network,
Cartoon Network - Premium,
CARTOONITO,
CBBC,
CBeebies,
CBS Action,
CBS Drama,
CBS Reality,
Central FM,
Ceredigion,
CFM,
Challenge,
Challenge +1,
Channel,
Channel 01,
Channel 02,
Channel 03,
Channel 103,
Channel 4,Channel 4 London
Channel 4 +1,Channel 4 London +1
Channel 4 HD,
Channel 7,
Channel 9,
Channel HD,
Channel One,
Channel One +1,
Channel S,
Chart Show TV,
Chelmsford Radio,
Chelsea TV,
Children's ITV,CITV
Chill,
Choice,
Choice FM,
CHRISTMAS24,
CHRISTMAS24 Plus,
Cielo,
CINEMOI,
City Beat 96.7 FM,
City Talk 105.9,
Clare FM,
Class HorseTV,
Classic FM,
ClassNews msnbc,
Clyde 1,
Clyde 2,
CN Too,
CNBC,
CNN,
Coast 106,
Coastline Radio,
Comedy Central,
Comedy Central +1,
Comedy Central Extra,
Comedy Central Extra +1,
Comedy Central HD,
Coming Soon Television,
Compass FM,
Connect FM,
Connect FM 106.8,
Cool FM,
Cork's 96FM,
County Sound Radio,
Coventry and Warwickshire FM,
Crime And Investigation,
Crime And Investigation +1,
Crime And Investigation HD,
Cubo Vision,
CUH FM 107.8,
dahlia,
dahlia 1 calcio,
dahlia 2 adult,
dahlia 2 calcio,
dahlia 2 sport,
dahlia 3 adult,
dahlia 3 calcio,
dahlia 4 calcio,
dahlia 5 calcio,
dahlia adult,
dahlia adult gay,
dahlia explorer,
dahlia extra,
dahlia sport,
dahlia xtreme,
DAVE,
Dave Ja Vu,
Deejay TV,
Deejay TV +2,
Derby's Ram FM,
Deutsche Welle,
Devon MW,
DISCOVERY,
Discovery +1,
Discovery +1 Point5,
Discovery HD,
Discovery History,
Discovery History +1,
Discovery Home And Health,
Discovery Home And Health +1,
Discovery Knowledge,
Discovery Quest +1,
Discovery Real Time,
Discovery Real Time +1,
Discovery Science,
Discovery Science +1,
Discovery Shed,
Discovery Travel And Living,
Discovery Travel And Living +1,
Discovery Turbo,
Disney Channel - Premium,
Disney Channel+1 - Premium,
Disney Cinemagic,
Disney Cinemagic +1,
Disney Cinemagic HD,
Disney Xd,
Disney Xd +1,
Disney Xd HD,
Diva,
Diva +1,
DMAX,
DMAX +1,
DMAX 2,
Downtown Radio,
Dream 100,
Dublin City FM,
Dune FM,
E Europe,
E Exlamation,
E21 NETWORK 1,
E4,
E4 +1,
E4 HD,
Eagle 96.4,
East Coast Radio,
EDEN,
Eden +1,
Eden HD,
Elite Shopping,
Espansione TV,
ESPN,
Espn America,
Espn America HD,
Espn Classic,
ESPN HD,
EURONEWS,
Euronews,
EUROSPORT,
Eurosport 2,
Eurosport HD,
Extreme Sports,
FD Auditorium,
FD Leggera,
Film 4,Film4
FILM4 +1,Film4 +1
FILM4 HD,Film4 HD
FILMFLEX,
Fire,
Fitness TV,
Five,Channel 5
Five +1,Channel 5 +1
Five HD,Channel 5 HD
Five USA,5USA
Five USA +1,5USA +1
Fiver,5*
Fiver +1,5* +1
Fiver USA +1,5USA +1
FLAUNT,
Flava,
FM 104,
Food Network,
Food Network +1,
Forest FM,
Forth 2,
Forth One,
France 24,
Fresh AM,
Frisbee,
Fun Kids,
future radio,
FX,
Fx HD,
FX+,
Galway Bay FM 95.8,
GBC,
Gem 106,
Gem Collector,
Gems TV,
Glamour Plus VM18,
Glide FM,
GMTV Digital,
God Channel,
Gold,
Gold,
Gold +1,
Gold TV,
Good Food,
Good Food +1,
Hallam FM,
