SID,IDENT,PYEPG,NAME,FSAT NUM,SKY NUM,HD,REGIONAL,RADIO,ICON
0,,radio_bbc_london,BBC London 94.9,718,1152,0,0,1,
0,,radio_cavalry_radio,Calvary Radio,0,1156,0,0,1,
0,,radio_radio_caroline,Radio Caroline,0,0,0,0,0,http://www.lyngsat-logo.com/logo/radio/rr/radio_caroline.jpg
0,,radio_rapture_radio,Rapture Radio,0,0,0,0,0,
0,,tv_bbc_one,BBC One,101,101,0,1,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one.jpg
0,,tv_bbc_two,BBC Two,102,102,0,1,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc2.jpg
0,,tv_channel_4,Channel 4,104,104,0,1,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4.jpg
0,,tv_channel_4+1,Channel 4 +1,121,135,0,1,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_plus1.jpg
0,,tv_channel_5,Channel 5,105,105,0,1,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_region1.jpg
0,,tv_channel_5+1,Channel 5 +1,128,177,0,1,0,http://www.lyngsat-logo.com/logo/tv/cc/channel5_region1_plus1.jpg
0,,tv_channel_line_up,Channel Line-up,0,996,0,0,0,
0,,tv_itv1,ITV1,103,103,0,1,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1.jpg
0,,tv_itv1_hd,ITV1 HD,119,178,1,1,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_london_hd.jpg
0,,tv_itv1+1,ITV1 +1,112,131,0,1,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_plus1.jpg
0,,,EPG Background,0,0,0,0,0,
0,,,ITV1 Anglia +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_plus1.jpg
0,,,ITV1 West +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_plus1.jpg
0,,,ITV1 Border and Tyne Tees +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_plus1.jpg
0,,,ITV1 West +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_westcountry_west_plus1.jpg
0,,,Channel 4 +1,975,995,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_plus1.jpg
1015,ITV1 Border,,STV,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/stv_east.jpg
3851,ITV1 HD,,ITV1 Granada HD,0,0,1,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_granada_hd.jpg
4704,Sky News,tv_sky_news,Sky News,0,501,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/sky_uk_news.jpg
4706,Sky News,tv_sky_news,Sky News,0,501,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/sky_uk_news.jpg
4740,SNR,,SNR,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/snrt_1_laayoune.jpg
5802,CommunityChnl,tv_community_channel,Community Channel,0,539,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/cignal_community_channel.jpg
6301,BBC 1 London,tv_bbc_one_london,BBC One London,950,974,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_london.jpg
